"First Name","Last Name","Email Address","Course","Activity","Activity Date"
"Student1","Student1","student1.student1@collin.edu","COSC2451","Answered Discussion Question","05-24-2024"
"Student2","Student2","student2.student2@collin.edu","COSC2452","Answered Discussion Question","05-24-2024"
"Student3","Student3","student3.student3@collin.edu","COSC2453","Answered Discussion Question","05-24-2024"
"Student4","Student4","student4.student4@collin.edu","COSC2454","Answered Discussion Question","05-24-2024"
"Student5","Student5","student5.student5@collin.edu","COSC2455","Answered Discussion Question","05-24-2024"
"Student6","Student6","student6.student6@collin.edu","COSC2456","Answered Discussion Question","05-24-2024"
"Student7","Student7","student7.student7@collin.edu","COSC2457","Answered Discussion Question","05-24-2024"
"Student8","Student8","student8.student8@collin.edu","COSC2458","Answered Discussion Question","05-24-2024"
"Student9","Student9","student9.student9@collin.edu","COSC2459","Answered Discussion Question","05-24-2024"
"Student10","Student10","student10.student10@collin.edu","COSC24510","Answered Discussion Question","05-24-2024"
"Student11","Student11","student11.student11@collin.edu","COSC24511","Answered Discussion Question","05-24-2024"
"Student12","Student12","student12.student12@collin.edu","COSC24512","Answered Discussion Question","05-24-2024"
"Student13","Student13","student13.student13@collin.edu","COSC24513","Answered Discussion Question","05-24-2024"
"Student14","Student14","student14.student14@collin.edu","COSC24514","Answered Discussion Question","05-24-2024"
"Student15","Student15","student15.student15@collin.edu","COSC24515","Answered Discussion Question","05-24-2024"
"Student16","Student16","student16.student16@collin.edu","COSC24516","Answered Discussion Question","05-24-2024"
"Student17","Student17","student17.student17@collin.edu","COSC24517","Answered Discussion Question","05-24-2024"
"Student18","Student18","student18.student18@collin.edu","COSC24518","Answered Discussion Question","05-24-2024"
"Student19","Student19","student19.student19@collin.edu","COSC24519","Answered Discussion Question","05-24-2024"
"Student20","Student20","student20.student20@collin.edu","COSC24520","Answered Discussion Question","05-24-2024"
"Student21","Student21","student21.student21@collin.edu","COSC24521","Answered Discussion Question","05-24-2024"
"Student22","Student22","student22.student22@collin.edu","COSC24522","Answered Discussion Question","05-24-2024"
"Student23","Student23","student23.student23@collin.edu","COSC24523","Answered Discussion Question","05-24-2024"
"Student24","Student24","student24.student24@collin.edu","COSC24524","Answered Discussion Question","05-24-2024"
"Student25","Student25","student25.student25@collin.edu","COSC24525","Answered Discussion Question","05-24-2024"
"Student26","Student26","student26.student26@collin.edu","COSC24526","Answered Discussion Question","05-24-2024"
"Student27","Student27","student27.student27@collin.edu","COSC24527","Answered Discussion Question","05-24-2024"
"Student28","Student28","student28.student28@collin.edu","COSC24528","Answered Discussion Question","05-24-2024"
"Student29","Student29","student29.student29@collin.edu","COSC24529","Answered Discussion Question","05-24-2024"
"Student30","Student30","student30.student30@collin.edu","COSC24530","Answered Discussion Question","05-24-2024"
"Student31","Student31","student31.student31@collin.edu","COSC24531","Answered Discussion Question","05-24-2024"
"Student32","Student32","student32.student32@collin.edu","COSC24532","Answered Discussion Question","05-24-2024"
"Student33","Student33","student33.student33@collin.edu","COSC24533","Answered Discussion Question","05-24-2024"
"Student34","Student34","student34.student34@collin.edu","COSC24534","Answered Discussion Question","05-24-2024"
"Student35","Student35","student35.student35@collin.edu","COSC24535","Answered Discussion Question","05-24-2024"
"Student36","Student36","student36.student36@collin.edu","COSC24536","Answered Discussion Question","05-24-2024"
"Student37","Student37","student37.student37@collin.edu","COSC24537","Answered Discussion Question","05-24-2024"
"Student38","Student38","student38.student38@collin.edu","COSC24538","Answered Discussion Question","05-24-2024"
"Student39","Student39","student39.student39@collin.edu","COSC24539","Answered Discussion Question","05-24-2024"
"Student40","Student40","student40.student40@collin.edu","COSC24540","Answered Discussion Question","05-24-2024"
"Student41","Student41","student41.student41@collin.edu","COSC24541","Answered Discussion Question","05-24-2024"
"Student42","Student42","student42.student42@collin.edu","COSC24542","Answered Discussion Question","05-24-2024"
"Student43","Student43","student43.student43@collin.edu","COSC24543","Answered Discussion Question","05-24-2024"
"Student44","Student44","student44.student44@collin.edu","COSC24544","Answered Discussion Question","05-24-2024"
"Student45","Student45","student45.student45@collin.edu","COSC24545","Answered Discussion Question","05-24-2024"
"Student46","Student46","student46.student46@collin.edu","COSC24546","Answered Discussion Question","05-24-2024"
"Student47","Student47","student47.student47@collin.edu","COSC24547","Answered Discussion Question","05-24-2024"
"Student48","Student48","student48.student48@collin.edu","COSC24548","Answered Discussion Question","05-24-2024"
"Student49","Student49","student49.student49@collin.edu","COSC24549","Answered Discussion Question","05-24-2024"
"Student50","Student50","student50.student50@collin.edu","COSC24550","Answered Discussion Question","05-24-2024"
"Student51","Student51","student51.student51@collin.edu","COSC24551","Answered Discussion Question","05-24-2024"
"Student52","Student52","student52.student52@collin.edu","COSC24552","Answered Discussion Question","05-24-2024"
"Student53","Student53","student53.student53@collin.edu","COSC24553","Answered Discussion Question","05-24-2024"
"Student54","Student54","student54.student54@collin.edu","COSC24554","Answered Discussion Question","05-24-2024"
"Student55","Student55","student55.student55@collin.edu","COSC24555","Answered Discussion Question","05-24-2024"
"Student56","Student56","student56.student56@collin.edu","COSC24556","Answered Discussion Question","05-24-2024"
"Student57","Student57","student57.student57@collin.edu","COSC24557","Answered Discussion Question","05-24-2024"
"Student58","Student58","student58.student58@collin.edu","COSC24558","Answered Discussion Question","05-24-2024"
"Student59","Student59","student59.student59@collin.edu","COSC24559","Answered Discussion Question","05-24-2024"
"Student60","Student60","student60.student60@collin.edu","COSC24560","Answered Discussion Question","05-24-2024"
"Student61","Student61","student61.student61@collin.edu","COSC24561","Answered Discussion Question","05-24-2024"
"Student62","Student62","student62.student62@collin.edu","COSC24562","Answered Discussion Question","05-24-2024"
"Student63","Student63","student63.student63@collin.edu","COSC24563","Answered Discussion Question","05-24-2024"
"Student64","Student64","student64.student64@collin.edu","COSC24564","Answered Discussion Question","05-24-2024"
"Student65","Student65","student65.student65@collin.edu","COSC24565","Answered Discussion Question","05-24-2024"
"Student66","Student66","student66.student66@collin.edu","COSC24566","Answered Discussion Question","05-24-2024"
"Student67","Student67","student67.student67@collin.edu","COSC24567","Answered Discussion Question","05-24-2024"
"Student68","Student68","student68.student68@collin.edu","COSC24568","Answered Discussion Question","05-24-2024"
"Student69","Student69","student69.student69@collin.edu","COSC24569","Answered Discussion Question","05-24-2024"
"Student70","Student70","student70.student70@collin.edu","COSC24570","Answered Discussion Question","05-24-2024"
"Student71","Student71","student71.student71@collin.edu","COSC24571","Answered Discussion Question","05-24-2024"
"Student72","Student72","student72.student72@collin.edu","COSC24572","Answered Discussion Question","05-24-2024"
"Student73","Student73","student73.student73@collin.edu","COSC24573","Answered Discussion Question","05-24-2024"
"Student74","Student74","student74.student74@collin.edu","COSC24574","Answered Discussion Question","05-24-2024"
"Student75","Student75","student75.student75@collin.edu","COSC24575","Answered Discussion Question","05-24-2024"
"Student76","Student76","student76.student76@collin.edu","COSC24576","Answered Discussion Question","05-24-2024"
"Student77","Student77","student77.student77@collin.edu","COSC24577","Answered Discussion Question","05-24-2024"
"Student78","Student78","student78.student78@collin.edu","COSC24578","Answered Discussion Question","05-24-2024"
"Student79","Student79","student79.student79@collin.edu","COSC24579","Answered Discussion Question","05-24-2024"
"Student80","Student80","student80.student80@collin.edu","COSC24580","Answered Discussion Question","05-24-2024"
"Student81","Student81","student81.student81@collin.edu","COSC24581","Answered Discussion Question","05-24-2024"
"Student82","Student82","student82.student82@collin.edu","COSC24582","Answered Discussion Question","05-24-2024"
"Student83","Student83","student83.student83@collin.edu","COSC24583","Answered Discussion Question","05-24-2024"
"Student84","Student84","student84.student84@collin.edu","COSC24584","Answered Discussion Question","05-24-2024"
"Student85","Student85","student85.student85@collin.edu","COSC24585","Answered Discussion Question","05-24-2024"
"Student86","Student86","student86.student86@collin.edu","COSC24586","Answered Discussion Question","05-24-2024"
"Student87","Student87","student87.student87@collin.edu","COSC24587","Answered Discussion Question","05-24-2024"
"Student88","Student88","student88.student88@collin.edu","COSC24588","Answered Discussion Question","05-24-2024"
"Student89","Student89","student89.student89@collin.edu","COSC24589","Answered Discussion Question","05-24-2024"
"Student90","Student90","student90.student90@collin.edu","COSC24590","Answered Discussion Question","05-24-2024"
"Student91","Student91","student91.student91@collin.edu","COSC24591","Answered Discussion Question","05-24-2024"
"Student92","Student92","student92.student92@collin.edu","COSC24592","Answered Discussion Question","05-24-2024"
"Student93","Student93","student93.student93@collin.edu","COSC24593","Answered Discussion Question","05-24-2024"
"Student94","Student94","student94.student94@collin.edu","COSC24594","Answered Discussion Question","05-24-2024"
